Quarter,Alice Springs,Wilderness West
1998-Q1,8.1470853,58.3291075
1998-Q2,34.6595574,37.4595124
1998-Q3,76.541382,9.2454441
1998-Q4,27.2206619,42.4605532
1999-Q1,12.495749,45.8789257
1999-Q2,47.3809533,28.1734093
1999-Q3,60.8314161,7.232301
1999-Q4,37.8111007,38.6191642
2000-Q1,24.2911274,45.7947068
2000-Q2,24.6175017,19.6184858
2000-Q3,62.6099921,23.7249375
2000-Q4,36.1202738,41.8379769
2001-Q1,14.6648175,45.1835212
2001-Q2,22.8703785,56.0377983
2001-Q3,63.554219,11.6455049
2001-Q4,22.842122,10.5256022
2002-Q1,7.5927502,49.7242926
2002-Q2,34.0995705,29.4991451
2002-Q3,52.7535129,14.963984
2002-Q4,34.9011134,39.1741879
2003-Q1,11.8431689,41.4982452
2003-Q2,36.6797179,44.0352553
2003-Q3,45.4880099,20.3176808
2003-Q4,21.7685144,38.3068709
2004-Q1,11.4357679,84.8803603
2004-Q2,26.3460521,39.3318102
2004-Q3,74.3812909,8.1457727
2004-Q4,17.7991968,46.759181
2005-Q1,13.8690871,56.2299968
2005-Q2,40.3196952,30.5318991
2005-Q3,64.0980872,21.4946682
2005-Q4,31.5503204,29.6745531
2006-Q1,16.185135,49.196247
2006-Q2,37.438826,44.542658
2006-Q3,49.688457,4.266286
2006-Q4,41.29565,23.264524
2007-Q1,13.1360961,50.5594863
2007-Q2,38.7518353,40.025958
2007-Q3,48.0003058,19.0743555
2007-Q4,29.0465011,44.2774169
2008-Q1,18.1932404,64.1466599
2008-Q2,35.8968274,37.6918626
2008-Q3,36.3539935,11.3817714
2008-Q4,23.7568368,14.7438164
2009-Q1,3.5644857,61.6079716
2009-Q2,44.6970488,26.5026447
2009-Q3,53.5060037,18.3990733
2009-Q4,31.4972439,35.9343849
2010-Q1,10.2337889,58.0775077
2010-Q2,35.6452535,44.6129925
2010-Q3,46.4773527,16.1513138
2010-Q4,45.7219012,28.3880037
2011-Q1,11.8440169,36.0503264
2011-Q2,18.6889712,15.7796284
2011-Q3,37.9127397,4.5412488
2011-Q4,14.2088997,14.5680511
2012-Q1,15.1664972,44.5397919
2012-Q2,21.6415173,17.0676986
2012-Q3,47.6393635,3.8076233
2012-Q4,7.2778621,22.505589
2013-Q1,6.2145607,47.2501025
2013-Q2,26.7268165,25.8403298
2013-Q3,37.0457969,13.39509
2013-Q4,17.0726927,26.2781782
2014-Q1,2.8085551,58.3048194
2014-Q2,61.3815077,35.7884421
2014-Q3,46.9493693,7.2006849
2014-Q4,30.3574627,25.1425557
2015-Q1,10.5248,65.1151541
2015-Q2,38.6687314,8.4092422
2015-Q3,69.7372495,11.2963425
2015-Q4,20.5462312,21.3373862
2016-Q1,3.3960847,42.1811316
2016-Q2,45.0464619,23.4938164
2016-Q3,65.0457792,9.61307
2016-Q4,15.2334995,29.7791369
2017-Q1,21.1453657,57.0283517
2017-Q2,39.0295565,18.9487801
2017-Q3,35.9612283,11.5236288
2017-Q4,23.0439695,32.9402821
